------------ Data Table File Created By Actigraph Link ActiLife v6.11.9 date format dd/MM/yyyy Filter Normal -----------,,,,,
Serial Number: TAS1D48140206,,,,,
Start Time 15:00:00,,,,,
Start Date 09-12-2017,,,,,
Epoch Period (hh:mm:ss) 00:00:01,,,,,
Download Time 15:29:44,,,,,
Download Date 09-19-2017,,,,,
Current Memory Address: 0,,,,,
Current Battery Voltage: 3.85     Mode = 13,,,,,
--------------------------------------------------,,,,,
TimeStamp,axis1,axis2,axis3,steps,vm
2017-09-12T16:11:17Z,0,0,0,0,0
2017-09-12T16:11:18Z,0,0,0,0,0
2017-09-12T16:11:19Z,0,0,0,0,0
2017-09-12T16:11:20Z,0,0,0,0,0
2017-09-12T16:11:21Z,26,11,25,0,38
2017-09-12T16:11:22Z,23,6,19,1,31
2017-09-12T16:11:23Z,0,0,2,0,2
2017-09-12T16:11:24Z,0,0,2,0,2
2017-09-12T16:11:25Z,0,0,0,0,0
2017-09-12T16:11:26Z,1,0,1,0,2
2017-09-12T16:11:27Z,80,109,93,1,165
2017-09-12T16:11:28Z,10,19,29,0,37
2017-09-12T16:11:29Z,0,27,38,0,47
2017-09-12T16:11:30Z,37,83,9,0,92
2017-09-12T16:11:31Z,133,13,30,1,137
2017-09-12T16:11:32Z,54,19,144,1,155
2017-09-12T16:11:33Z,15,10,15,0,24
2017-09-12T16:11:34Z,2,0,0,0,2
2017-09-12T16:11:35Z,0,0,0,0,0
2017-09-12T16:11:36Z,0,0,0,0,0
2017-09-12T16:11:37Z,0,0,0,0,0
2017-09-12T16:11:38Z,0,0,0,0,0
2017-09-12T16:11:39Z,0,0,0,0,0
2017-09-12T16:11:40Z,0,0,0,0,0
2017-09-12T16:11:41Z,0,0,0,0,0
2017-09-12T16:11:42Z,0,0,0,0,0
2017-09-12T16:11:43Z,20,0,0,0,20
2017-09-12T16:11:44Z,2,0,0,1,2
2017-09-12T16:11:45Z,0,0,0,0,0
2017-09-12T16:11:46Z,0,0,0,0,0
2017-09-12T16:11:47Z,0,0,0,0,0
2017-09-12T16:11:48Z,0,0,0,0,0
2017-09-12T16:11:49Z,0,0,0,0,0
2017-09-12T16:11:50Z,0,0,0,0,0
2017-09-12T16:11:51Z,0,0,0,0,0
2017-09-12T16:11:52Z,0,0,0,0,0
2017-09-12T16:11:53Z,0,0,0,0,0
2017-09-12T16:11:54Z,112,98,49,1,157
2017-09-12T16:11:55Z,19,31,12,0,39
2017-09-12T16:11:56Z,38,31,0,0,50
2017-09-12T16:11:57Z,0,0,0,0,0
2017-09-12T16:11:58Z,48,80,65,0,114
2017-09-12T16:11:59Z,0,0,3,0,3
2017-09-12T16:12:00Z,13,0,0,1,13
2017-09-12T16:12:01Z,97,94,95,1,166
2017-09-12T16:12:02Z,4,20,28,0,35
2017-09-12T16:12:03Z,71,11,49,1,87
2017-09-12T16:12:04Z,97,86,64,1,145
2017-09-12T16:12:05Z,48,32,31,0,66
2017-09-12T16:12:06Z,41,49,40,0,76
2017-09-12T16:12:07Z,54,51,24,0,79
2017-09-12T16:12:08Z,126,15,70,1,145
2017-09-12T16:12:09Z,69,31,136,0,156
2017-09-12T16:12:10Z,7,15,24,1,30
2017-09-12T16:12:11Z,10,0,0,0,10
2017-09-12T16:12:12Z,5,0,0,0,5
2017-09-12T16:12:13Z,0,0,0,0,0
2017-09-12T16:12:14Z,15,0,0,1,15
2017-09-12T16:12:15Z,0,0,0,0,0
2017-09-12T16:12:16Z,0,0,0,0,0
2017-09-12T16:12:17Z,0,0,0,0,0
2017-09-12T16:12:18Z,0,0,0,0,0
2017-09-12T16:12:19Z,0,0,0,0,0
2017-09-12T16:12:20Z,0,0,0,0,0
2017-09-12T16:12:21Z,0,0,0,0,0
2017-09-12T16:12:22Z,0,0,0,0,0
2017-09-12T16:12:23Z,0,0,0,0,0
2017-09-12T16:12:24Z,0,0,0,0,0
2017-09-12T16:12:25Z,0,0,0,0,0
2017-09-12T16:12:26Z,0,0,0,0,0
2017-09-12T16:12:27Z,0,0,0,0,0
2017-09-12T16:12:28Z,0,0,0,0,0
2017-09-12T16:12:29Z,0,0,0,0,0
2017-09-12T16:12:30Z,0,0,0,0,0
2017-09-12T16:12:31Z,0,0,0,0,0
2017-09-12T16:12:32Z,0,0,0,0,0
2017-09-12T16:12:33Z,0,0,0,0,0
2017-09-12T16:12:34Z,0,0,0,0,0
2017-09-12T16:12:35Z,0,0,0,0,0
2017-09-12T16:12:36Z,0,0,0,0,0
2017-09-12T16:12:37Z,0,0,0,0,0
2017-09-12T16:12:38Z,0,0,0,0,0
2017-09-12T16:12:39Z,0,0,0,0,0
2017-09-12T16:12:40Z,0,0,0,0,0
2017-09-12T16:12:41Z,0,0,0,0,0
2017-09-12T16:12:42Z,0,0,0,0,0
2017-09-12T16:12:43Z,0,0,0,0,0
2017-09-12T16:12:44Z,0,0,0,0,0
2017-09-12T16:12:45Z,0,0,0,0,0
2017-09-12T16:12:46Z,0,0,0,0,0
2017-09-12T16:12:47Z,0,0,0,0,0
2017-09-12T16:12:48Z,0,0,0,0,0
2017-09-12T16:12:49Z,0,0,0,0,0
2017-09-12T16:12:50Z,0,0,0,0,0
2017-09-12T16:12:51Z,0,0,0,0,0
2017-09-12T16:12:52Z,0,0,0,0,0
2017-09-12T16:12:53Z,0,0,0,0,0
2017-09-12T16:12:54Z,0,0,0,0,0
2017-09-12T16:12:55Z,0,0,0,0,0
2017-09-12T16:12:56Z,0,0,0,0,0
2017-09-12T16:12:57Z,0,0,0,0,0
2017-09-12T16:12:58Z,0,0,0,0,0
2017-09-12T16:12:59Z,0,0,0,0,0
2017-09-12T16:13:00Z,0,0,0,0,0
2017-09-12T16:13:01Z,0,0,0,0,0
2017-09-12T16:13:02Z,0,0,0,0,0
2017-09-12T16:13:03Z,0,0,0,0,0
2017-09-12T16:13:04Z,0,0,0,0,0
2017-09-12T16:13:05Z,0,0,0,0,0
2017-09-12T16:13:06Z,0,0,0,0,0
2017-09-12T16:13:07Z,0,0,0,0,0
2017-09-12T16:13:08Z,0,0,0,0,0
2017-09-12T16:13:09Z,0,0,0,0,0
2017-09-12T16:13:10Z,0,0,0,0,0
2017-09-12T16:13:11Z,0,0,0,0,0
2017-09-12T16:13:12Z,0,0,0,0,0
2017-09-12T16:13:13Z,0,0,0,0,0
2017-09-12T16:13:14Z,0,0,0,0,0
2017-09-12T16:13:15Z,0,0,0,0,0
2017-09-12T16:13:16Z,0,0,0,0,0
2017-09-12T16:13:17Z,0,0,0,0,0
2017-09-12T16:13:18Z,0,0,0,0,0
2017-09-12T16:13:19Z,0,0,0,0,0
2017-09-12T16:13:20Z,0,0,0,0,0
2017-09-12T16:13:21Z,0,0,0,0,0
2017-09-12T16:13:22Z,0,0,0,0,0
2017-09-12T16:13:23Z,0,0,0,0,0
2017-09-12T16:13:24Z,0,0,0,0,0
2017-09-12T16:13:25Z,0,0,0,0,0
2017-09-12T16:13:26Z,0,0,0,0,0
2017-09-12T16:13:27Z,0,0,0,0,0
2017-09-12T16:13:28Z,0,0,0,0,0
2017-09-12T16:13:29Z,0,0,0,0,0
2017-09-12T16:13:30Z,0,0,0,0,0
2017-09-12T16:13:31Z,0,0,0,0,0
